scope,cultivo,variable,trat_1,trat_2,trat_1_label,trat_2_label,n_1,n_2,cohens_d,hedges_g,abs_hedges_g
by_crop,Lechuga crespa,peso_fresco_g,T1,T3,INIA,FAO,5,5,0.8919940015693524,0.8056720014174795,0.8056720014174795
by_crop,Lechuga crespa,peso_fresco_g,T2,T3,La Molina,FAO,5,5,0.8601463350944791,0.7769063671821101,0.7769063671821101
by_crop,Lechuga crespa,peso_fresco_g,T1,T2,INIA,La Molina,5,5,-0.5453487396275997,-0.4925730551475094,0.4925730551475094
by_crop,Lechuga crespa,peso_fresco_g,T3,T4,FAO,Hidroponika,5,5,-0.5001371585881264,-0.4517367884021786,0.4517367884021786
by_crop,Lechuga crespa,peso_fresco_g,T2,T4,La Molina,Hidroponika,5,5,0.34122281281561945,0.3082012502850756,0.3082012502850756
by_crop,Lechuga crespa,peso_fresco_g,T1,T4,INIA,Hidroponika,5,5,-0.12581353782467303,-0.1136380341642208,0.1136380341642208
by_crop,Lechuga seda,altura_hojas_cm,T3,T4,FAO,Hidroponika,5,5,3.222219297474619,2.9103916235254625,2.9103916235254625
by_crop,Lechuga seda,altura_hojas_cm,T2,T3,La Molina,FAO,4,5,-2.6716965086740414,-2.374841341043592,2.374841341043592
by_crop,Lechuga seda,altura_hojas_cm,T2,T4,La Molina,Hidroponika,4,5,0.8414287888697829,0.7479367012175847,0.7479367012175847
by_crop,Lechuga seda,altura_hojas_cm,T1,T3,INIA,FAO,5,5,-0.695357471074136,-0.6280648125830905,0.6280648125830905
by_crop,Lechuga seda,altura_hojas_cm,T1,T4,INIA,Hidroponika,5,5,0.44516951351757234,0.40208859285458143,0.40208859285458143
by_crop,Lechuga seda,altura_hojas_cm,T1,T2,INIA,La Molina,5,4,0.19999791300355263,0.17777592266982456,0.17777592266982456
by_crop,Lechuga seda,diametro_cm,T3,T4,FAO,Hidroponika,5,5,2.863488129912976,2.5863763754052687,2.5863763754052687
by_crop,Lechuga seda,diametro_cm,T1,T3,INIA,FAO,5,5,-2.450225214873852,-2.2131066456925117,2.2131066456925117
by_crop,Lechuga seda,diametro_cm,T2,T4,La Molina,Hidroponika,4,5,1.9034935437854497,1.6919942611426217,1.6919942611426217
by_crop,Lechuga seda,diametro_cm,T2,T3,La Molina,FAO,4,5,-1.7747528438667897,-1.5775580834371463,1.5775580834371463
by_crop,Lechuga seda,diametro_cm,T1,T4,INIA,Hidroponika,5,5,1.2136700910941023,1.096218146794673,1.096218146794673
by_crop,Lechuga seda,diametro_cm,T1,T2,INIA,La Molina,5,4,-1.2060453783110612,-1.0720403362764988,1.0720403362764988
by_crop,Lechuga seda,longitud_raiz_cm,T1,T4,INIA,Hidroponika,5,5,1.705908653452874,1.5408207192477572,1.5408207192477572
by_crop,Lechuga seda,longitud_raiz_cm,T1,T2,INIA,La Molina,5,4,1.4606925422675965,1.29839337090453,1.29839337090453
by_crop,Lechuga seda,longitud_raiz_cm,T3,T4,FAO,Hidroponika,5,5,0.5903608819928413,0.5332291837354696,0.5332291837354696
by_crop,Lechuga seda,longitud_raiz_cm,T2,T3,La Molina,FAO,4,5,-0.5504575674553889,-0.48929561551590117,0.48929561551590117
by_crop,Lechuga seda,longitud_raiz_cm,T1,T3,INIA,FAO,5,5,0.48336216074237937,0.43658517744472974,0.43658517744472974
by_crop,Lechuga seda,longitud_raiz_cm,T2,T4,La Molina,Hidroponika,4,5,-0.054629893852705134,-0.048559905646849005,0.048559905646849005
by_crop,Lechuga seda,num_hojas,T1,T4,INIA,Hidroponika,5,5,-3.872564622670196,-3.497800304347274,3.497800304347274
by_crop,Lechuga seda,num_hojas,T2,T4,La Molina,Hidroponika,4,5,-3.342852170450282,-2.9714241515113615,2.9714241515113615
by_crop,Lechuga seda,num_hojas,T3,T4,FAO,Hidroponika,5,5,-2.3875337610843244,-2.1564821067858415,2.1564821067858415
by_crop,Lechuga seda,num_hojas,T1,T3,INIA,FAO,5,5,-1.5831594556116524,-1.429950476036331,1.429950476036331
by_crop,Lechuga seda,num_hojas,T1,T2,INIA,La Molina,5,4,-1.0569963951264667,-0.9395523512235259,0.9395523512235259
by_crop,Lechuga seda,num_hojas,T2,T3,La Molina,FAO,4,5,-0.8530520744518579,-0.7582685106238737,0.7582685106238737
by_crop,Lechuga seda,peso_fresco_g,T1,T4,INIA,Hidroponika,5,5,5.389870016538499,4.868269692357353,4.868269692357353
by_crop,Lechuga seda,peso_fresco_g,T3,T4,FAO,Hidroponika,5,5,4.486329238463641,4.052168344418773,4.052168344418773
by_crop,Lechuga seda,peso_fresco_g,T1,T2,INIA,La Molina,5,4,4.5194417023556515,4.017281513205023,4.017281513205023
by_crop,Lechuga seda,peso_fresco_g,T2,T3,La Molina,FAO,4,5,-3.872579248647682,-3.442292665464606,3.442292665464606
by_crop,Lechuga seda,peso_fresco_g,T1,T3,INIA,FAO,5,5,-0.3178217312065003,-0.287064789476839,0.287064789476839
by_crop,Lechuga seda,peso_fresco_g,T2,T4,La Molina,Hidroponika,4,5,0.20550698391528233,0.18267287459136206,0.18267287459136206
global,todos,altura_hojas_cm,T2,T4,La Molina,Hidroponika,19,20,0.743010535681157,0.7278470553611334,0.7278470553611334
global,todos,altura_hojas_cm,T1,T4,INIA,Hidroponika,20,20,0.5011302692627189,0.4911740387475655,0.4911740387475655
global,todos,altura_hojas_cm,T3,T4,FAO,Hidroponika,20,20,0.4821651452211494,0.47258570524986826,0.47258570524986826
global,todos,altura_hojas_cm,T2,T3,La Molina,FAO,19,20,0.4251584848799245,0.41648178110686485,0.41648178110686485
global,todos,altura_hojas_cm,T1,T3,INIA,FAO,20,20,0.19190674197163649,0.18809402524372318,0.18809402524372318
global,todos,altura_hojas_cm,T1,T2,INIA,La Molina,20,19,-0.18685181854504698,-0.1830385161257603,0.1830385161257603
global,todos,diametro_cm,T1,T3,INIA,FAO,20,20,-0.459024742641909,-0.4499050457682287,0.4499050457682287
global,todos,diametro_cm,T1,T2,INIA,La Molina,20,19,-0.38807092005084054,-0.38015110535592544,0.38015110535592544
global,todos,diametro_cm,T1,T4,INIA,Hidroponika,20,20,-0.28546325576859033,-0.27979180035596934,0.27979180035596934
global,todos,diametro_cm,T3,T4,FAO,Hidroponika,20,20,0.16463645345040734,0.16136553053417407,0.16136553053417407
global,todos,diametro_cm,T2,T3,La Molina,FAO,19,20,-0.10064664720458778,-0.09859263399633089,0.09859263399633089
global,todos,diametro_cm,T2,T4,La Molina,Hidroponika,19,20,0.07309560391909985,0.07160385690034271,0.07160385690034271
global,todos,longitud_raiz_cm,T1,T4,INIA,Hidroponika,20,20,0.8822112923310963,0.8646839156622665,0.8646839156622665
global,todos,longitud_raiz_cm,T2,T4,La Molina,Hidroponika,19,20,0.5719130843165775,0.56024138871828,0.56024138871828
